# AIEM — Fiche de collecte : RÉSERVES PROUVÉES / PROVEN RESERVES
# Source de référence : OPEC Annual Statistical Bulletin — Energy Institute Statistical Review of World Energy
# Instructions :
#   - Une ligne par pays ET par année
#   - code : ISO 3166-1 alpha-3
#   - year : année de référence (2021, 2022, 2023, 2024, 2025…)
#   - oil_gbbl : réserves prouvées de pétrole en milliards de barils (Gbbl) — mettre 0 si aucune donnée
#   - gas_tcf : réserves prouvées de gaz en trillions de pieds cubes (Tcf) — mettre 0 si aucune donnée
#   - Valeur inconnue : laisser la cellule vide (ne pas mettre 0)
#   - Ne dupliquer pas la paire (code, year)
#
code,year,oil_gbbl,gas_tcf
DZA,2024,12.2,159.06
AGO,2024,7.78,13.5
NGA,2024,36.97,206.53
LBY,2024,48.36,52.99
EGY,2024,3.3,63.0
GAB,2024,2.0,1.0
COG,2024,2.88,10.0
GNQ,2024,1.1,1.3
TCD,2024,1.5,0.0
SDN,2024,1.5,3.0
SSD,2024,3.5,0.2
GHA,2024,0.66,0.8
# Ajouter les années précédentes et les pays manquants ci-dessous :
