# AIEM — Fiche de collecte : IMPORTATIONS & EXPORTATIONS / IMPORTS & EXPORTS
# Source de référence : IEA World Energy Balances (WBES)
# Instructions :
#   - code : code ISO du pays
#   - year : année de référence
#   - type : IMPORT ou EXPORT
#   - oil_kbd : volume de pétrole brut en kb/d (kilobarils/jour) — mettre 0 si aucun
#   - gas_bcm : volume de gaz naturel en bcm/an (milliards m³/an) — mettre 0 si aucun
#   - main_partners : principaux partenaires commerciaux, séparés par "|"
#       (pour imports : pays fournisseurs | pour exports : pays destinataires)
#       ex. Saudi Arabia|Iraq|Russia
#
code,year,type,oil_kbd,gas_bcm,main_partners
# --- IMPORTATEURS ---
MAR,2024,IMPORT,200,2.5,Saudi Arabia|Iraq|Russia
TUN,2024,IMPORT,75,1.2,Algeria|Libya
SEN,2024,IMPORT,45,0.0,Nigeria|Algeria
KEN,2024,IMPORT,90,0.0,Saudi Arabia|UAE
ZAF,2024,IMPORT,400,5.0,Saudi Arabia|Nigeria|Angola
GHA,2024,IMPORT,60,0.0,Nigeria|Saudi Arabia
# --- EXPORTATEURS ---
NGA,2024,EXPORT,1050,35.0,India|Spain|Netherlands|USA
DZA,2024,EXPORT,650,90.0,Italy|Spain|France|Portugal
AGO,2024,EXPORT,950,6.0,China|India|France
LBY,2024,EXPORT,1100,10.0,Italy|Germany|Spain
EGY,2024,EXPORT,200,8.0,Italy|Jordan|Israel
COG,2024,EXPORT,250,1.5,China|France
# Compléter et ajouter d'autres pays ci-dessous :
